name,site,category,phone,full_address,borough,street,city,postal_code,latitude,longitude,h3,area_service,rating,reviews,reviews_link,reviews_tags,photo,business_status,about,logo,description,location_link,email_1
NYRR RUNCENTER featuring the New Balance Run Hub,https://www.nyrr.org/runcenter,Running store,+1 855-569-6977,"320 W 57th St Ground Floor, New York, NY 10019",Manhattan,320 W 57th St Ground Floor,New York,10019,40.7668002,-73.9841223,892a1008b27ffff,FALSE,4.7,881,"https://search.google.com/local/reviews?placeid=ChIJM9ktaVhYwokRImpBBHiudGg&q=run+club,+Queens,+NY&authuser=0&hl=en&gl=US",,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noyBDgT4i65L3qpt8tcxpynElLMeyoS5jiDk_1AIbV2jswtbQZG0Ya8AQjaAIE_0imijldxsmhFVupu62wFGivkhqhdWIP13nRgdzfOpJgHakS3LDm7qJ-3qftDL0BQzc4GRCIHlw=w800-h500-k-no,OPERATIONAL,"{""Service options"": {""In-store pickup"": true, ""In-store shopping"": true, ""Onsite services"": true, ""Same-day delivery"": false}, ""Accessibility"": {""Wheelchair accessible entrance"": true}, ""Planning"": {""Quick visit"": true}, ""Payments"": {""Credit cards"": true, ""NFC mobile payments"": true}}",https://lh4.googleusercontent.com/-8Hsc6oWZC3E/AAAAAAAAAAI/AAAAAAAAAAA/Rf-eGc5DBZs/s44-p-k-no-ns-nd/photo.jpg,,"https://www.google.com/maps/place/NYRR+RUNCENTER+featuring+the+New+Balance+Run+Hub/@40.7668002,-73.9841223,14z/data=!4m8!1m2!2m1!1sNYRR+RUNCENTER+featuring+the+New+Balance+Run+Hub!3m4!1s0x89c25858692dd933:0x6874ae7804416a22!8m2!3d40.7668002!4d-73.9841223",dshumanski@nyrr.org
Mile High Run Club UES,https://milehighrunclub.com/,Fitness center,+1 212-466-6472,"1251 Lexington Ave, New York, NY 10028",Manhattan,1251 Lexington Ave,New York,10028,40.7784805,-73.9561277,892a1008907ffff,FALSE,4.8,30,"https://search.google.com/local/reviews?placeid=ChIJTS27-LxYwokRypn3jvQCy1Y&q=run+club,+Queens,+NY&authuser=0&hl=en&gl=US",,https://lh3.googleusercontent.com/p/AF1QipPXyIFp22-55Z5sXgHiCTv09cIFlwg57-y7lnU5=w800-h500-k-no,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible parking lot"": false}, ""Atmosphere"": {""Shower"": true}, ""Payments"": {""Credit cards"": true}}",https://lh5.googleusercontent.com/-TMbH-M9UKko/AAAAAAAAAAI/AAAAAAAAAAA/7TRUAqFDv8U/s44-p-k-no-ns-nd/photo.jpg,,"https://www.google.com/maps/place/Mile+High+Run+Club+UES/@40.7784805,-73.9561277,14z/data=!4m8!1m2!2m1!1sMile+High+Run+Club+UES!3m4!1s0x89c258bcf8bb2d4d:0x56cb02f48ef799ca!8m2!3d40.7784805!4d-73.9561277",corinne@milehighrunclub.com
Juniper Valley Park Running Track,https://www.nycgovparks.org/parks/juniper-valley-park/facilities/runningtracks,Athletic track,+1 212-639-9675,"71st Street &, Lutheran Ave, Middle Village, NY 11379",Middle Village,"71st Street &, Lutheran Ave",Middle Village,11379,40.7205388,-73.8844942,892a100c077ffff,FALSE,4.5,443,"https://search.google.com/local/reviews?placeid=ChIJ7TY-wWBewokRkIS8olPlwck&q=run+club,+Queens,+NY&authuser=0&hl=en&gl=US",,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noPabw6e-oNRgz8hb1Ge5cdMHPOPa-sWOAOMCvsO1_RmHcZdlbrCBFOm_oZnRFJk6LuWK6aKFS5s4jT35QEYxFerpa7okWbTypAdOsRNH2XFcNOtk4MB1jgXTeFDT2gNpWAYKau=w800-h500-k-no,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",https://lh5.googleusercontent.com/-SMcIAoLGbds/AAAAAAAAAAI/AAAAAAAAAAA/scZaEe-tH9c/s44-p-k-no-ns-nd/photo.jpg,,"https://www.google.com/maps/place/Juniper+Valley+Park+Running+Track/@40.7205388,-73.88449419999999,14z/data=!4m8!1m2!2m1!1sJuniper+Valley+Park+Running+Track!3m4!1s0x89c25e60c13e36ed:0xc9c1e553a2bc8490!8m2!3d40.7205388!4d-73.88449419999999",pressoffice@parks.nyc.gov
Keep The Pace Run Club,http://keepthepace.run/,Physical fitness program,+1 508-404-3398,,,,,,40.716628,-73.9448356,892a100d12bffff,TRUE,5,20,,,,OPERATIONAL,{},https://lh3.googleusercontent.com/-ykGTMb-b7CY/AAAAAAAAAAI/AAAAAAAAAAA/UJ3PxFT34KA/s44-p-k-no-ns-nd/photo.jpg,,"https://www.google.com/maps/place/Keep+The+Pace+Run+Club/@40.716628,-73.94483559999999,14z/data=!4m8!1m2!2m1!1sKeep+The+Pace+Run+Club!3m4!1s0x62ece2b9168b09b5:0xb200bdec97753e6c!8m2!3d40.716628!4d-73.94483559999999",bethany@keepthepace.run
streets101,http://streets101.run/,Association / Organization,,"295 Madison Ave, New York, NY 10017",Manhattan,295 Madison Ave,New York,10017,40.7518605,-73.9794731,892a100d667ffff,FALSE,4,1,"https://search.google.com/local/reviews?placeid=ChIJY0BlBgFZwokR37iCzqLEHHE&q=run+club,+Queens,+NY&authuser=0&hl=en&gl=US",,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqVveSKz_X0hCCpJVs3-1_H8sIdE2D-mDAT2sKHx4eIm_DAb1rul4l2pEnpoiyYBryWbcWam6ThSbsUb3qa9hRh3H7bDlFVB7UmX75pfeuQNfcdAhmf1w-opTMb63rb-eXekVLJlg=w800-h500-k-no,OPERATIONAL,"{""Parking"": {""Paid street parking"": true}}",,,"https://www.google.com/maps/place/streets101/@40.7518605,-73.97947309999999,14z/data=!4m8!1m2!2m1!1sstreets101!3m4!1s0x89c2590106654063:0x711cc4a2ce82b8df!8m2!3d40.7518605!4d-73.97947309999999",united@streets101.run
Dashing Whippets Brooklyn Meeting Point,http://dashingwhippets.org/,Sports club,,"Brooklyn, NY 11215",None,,Brooklyn,11215,40.6721992,-73.9699227,892a100db4bffff,FALSE,5,4,"https://search.google.com/local/reviews?placeid=ChIJQUe3ZwhbwokRrXO-cMd3e9I&q=run+club,+Queens,+NY&authuser=0&hl=en&gl=US",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Vormp-ypW1gkBOIAJf5bGw&cb_client=search.gws-prod.gps&w=800&h=500&yaw=257.95126&pitch=0&thumbfov=100,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true}}",,,"https://www.google.com/maps/place/Dashing+Whippets+Brooklyn+Meeting+Point/@40.6721992,-73.9699227,14z/data=!4m8!1m2!2m1!1sDashing+Whippets+Brooklyn+Meeting+Point!3m4!1s0x89c25b0867b74741:0xd27b77c770be73ad!8m2!3d40.6721992!4d-73.9699227",matt@dashingwhippets.org
New Hyde Park Mineola Runners Club,https://www.newhydeparkrunners.com/,Social club,+1 347-603-6883,"318 Mineola Blvd, Mineola, NY 11501",None,318 Mineola Blvd,Mineola,11501,40.7497589,-73.644361,892a10044b3ffff,FALSE,5,1,"https://search.google.com/local/reviews?placeid=ChIJAQC8mPmHwokRAUHTfdJBaUY&q=run+club,+Queens,+NY&authuser=0&hl=en&gl=US",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GOGDbpGOauil8GCBcVsc3Q&cb_client=search.gws-prod.gps&w=800&h=500&yaw=69.95171&pitch=0&thumbfov=100,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}}",https://lh5.googleusercontent.com/-5Layv5PaqW0/AAAAAAAAAAI/AAAAAAAAAAA/Ooz0hlNgQzY/s44-p-k-no-ns-nd/photo.jpg,,"https://www.google.com/maps/place/New+Hyde+Park+Mineola+Runners+Club/@40.749758899999996,-73.644361,14z/data=!4m8!1m2!2m1!1sNew+Hyde+Park+Mineola+Runners+Club!3m4!1s0x89c287f998bc0001:0x466941d27dd34101!8m2!3d40.749758899999996!4d-73.644361",hello@newhydeparkrunners.com
Upper East Side Run Club,,Sports club,,"28 John Finley Walk, New York, NY 10028",Manhattan,28 John Finley Walk,New York,10028,40.7742912,-73.9432592,892a100f26bffff,FALSE,,,,,,OPERATIONAL,{},,,"https://www.google.com/maps/place/Upper+East+Side+Run+Club/@40.7742912,-73.9432592,14z/data=!4m8!1m2!2m1!1sUpper+East+Side+Run+Club!3m4!1s0x89c2590067e60c83:0xb9772b2d9281ac88!8m2!3d40.7742912!4d-73.9432592",
Midnight Run,https://midnightrun.org/,Association / Organization,+1 914-328-1896,"227 Bowery, New York, NY 10002",Manhattan,227 Bowery,New York,10002,40.7219563,-73.9928051,892a1072cbbffff,FALSE,2.8,4,"https://search.google.com/local/reviews?placeid=ChIJ__-T2IVZwokRQnN2N3LUf-s&q=run+club,+Queens,+NY&authuser=0&hl=en&gl=US",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uD-ngoEtDHlGPQ8ruaxxxw&cb_client=search.gws-prod.gps&w=800&h=500&yaw=286.0782&pitch=0&thumbfov=100,OPERATIONAL,{},,,"https://www.google.com/maps/place/Midnight+Run/@40.721956299999995,-73.9928051,14z/data=!4m8!1m2!2m1!1sMidnight+Run!3m4!1s0x89c25985d893ffff:0xeb7fd47237767342!8m2!3d40.721956299999995!4d-73.9928051",dale@midnightrun.org
Achilles International: NYC Central Park Workout,http://www.achillesinternational.org/nyc-chapter/,Association / Organization,+1 212-354-0300,"2 E 90th St, New York, NY 10128",Manhattan,2 E 90th St,New York,10128,40.7842337,-73.9588565,892a10089c7ffff,FALSE,4.2,5,"https://search.google.com/local/reviews?placeid=ChIJDRbgeqJYwokREFEz7X5D_FY&q=run+club,+Queens,+NY&authuser=0&hl=en&gl=US",,https://lh3.googleusercontent.com/p/AF1QipNpJQchpi_B53DY6FuuBiA9rdS2qlTq4VtVi4Yj=w800-h500-k-no,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true}}",https://lh6.googleusercontent.com/-8m61m4xLgS0/AAAAAAAAAAI/AAAAAAAAAAA/Qxh5pduBQ5I/s44-p-k-no-ns-nd/photo.jpg,,"https://www.google.com/maps/place/Achilles+International%3A+NYC+Central+Park+Workout/@40.7842337,-73.9588565,14z/data=!4m8!1m2!2m1!1sAchilles+International%3A+NYC+Central+Park+Workout!3m4!1s0x89c258a27ae0160d:0x56fc437eed335110!8m2!3d40.7842337!4d-73.9588565",ecox@achillesinternational.org
West Village Athletic (WVA),http://the-athleticclubs.com/westvillageathletic,Gym,,"131 Perry St, New York, NY 10014",Manhattan,131 Perry St,New York,10014,40.7350926,-74.0076617,892a10721afffff,FALSE,5,48,"https://search.google.com/local/reviews?placeid=ChIJp_rRfKBZwokRz9fWgDL7pis&q=run+club,+Queens,+NY&authuser=0&hl=en&gl=US",,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np-7C3F8q_CUGna29L1VpSLCyzAJf-EpyrFrnvaULQyfCD4ebTXKTQUy0p_cQFFZln8LqD6SipaM6y7zjKlMLga2TCb5vDXS0mEoiKELrF5il920MeCQ_Ib7zNmTDDzZsrRiJg3=w800-h500-k-no,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": false}, ""Planning"": {""Membership required"": true}, ""Payments"": {""Debit cards"": true, ""Credit cards"": true}}",https://lh3.googleusercontent.com/-88uAQFdXH3w/AAAAAAAAAAI/AAAAAAAAAAA/MysTibofiHo/s44-p-k-no-ns-nd/photo.jpg,,"https://www.google.com/maps/place/West+Village+Athletic+%28WVA%29/@40.7350926,-74.0076617,14z/data=!4m8!1m2!2m1!1sWest+Village+Athletic+%28WVA%29!3m4!1s0x89c259a07cd1faa7:0x2ba6fb3280d6d7cf!8m2!3d40.7350926!4d-74.0076617",members@athleticclubsgroup.com
New York Road Runners,http://nyrr.org/,Non-profit organization,,"Bronx, NY 10473",East Bronx,,Bronx,10473,40.8186607,-73.8431281,892a100180fffff,FALSE,3.5,8,"https://search.google.com/local/reviews?placeid=ChIJsSd0vdT0wokRuvRu-XMHEiE&q=run+club,+Queens,+NY&authuser=0&hl=en&gl=US",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1KBT3U1t1X38tbks5ZQhGg&cb_client=search.gws-prod.gps&w=800&h=500&yaw=301.305&pitch=0&thumbfov=100,OPERATIONAL,"{""Accessibility"": {""Wheelchair accessible entrance"": true}}",,,"https://www.google.com/maps/place/New+York+Road+Runners/@40.818660699999995,-73.8431281,14z/data=!4m8!1m2!2m1!1sNew+York+Road+Runners!3m4!1s0x89c2f4d4bd7427b1:0x21120773f96ef4ba!8m2!3d40.818660699999995!4d-73.8431281",dshumanski@nyrr.org
Brooklyn Running Company,https://www.brooklynrunningco.com/,Running store,+1 347-916-1173,"480 Bergen St, Brooklyn, NY 11217",Park Slope,480 Bergen St,Brooklyn,11217,40.6806662,-73.9754684,892a100da77ffff,FALSE,4.8,301,"https://search.google.com/local/reviews?placeid=ChIJ-_xkhiRbwokRnMxuVyUDFew&q=run+club,+Queens,+NY&authuser=0&hl=en&gl=US",,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nruTdqKzworz_oPCR0LNLy2TxxSPhlaGGkg0jo3vyC-vmsQeznM0POErqsUFyjuaDroiep3gsZLS6xor_hR310bgsERYa9hq_RJzcZKdyI80y3oudBj3Pfz_ZInfx8amT3eimM=w800-h500-k-no,OPERATIONAL,"{""Service options"": {""In-store pickup"": true, ""In-store shopping"": true, ""Onsite services"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": false}, ""Amenities"": {""Gender-neutral restroom"": true}, ""Crowd"": {""LGBTQ+ friendly"": true, ""Transgender safespace"": true}, ""Planning"": {""Quick visit"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",https://lh4.googleusercontent.com/-t65P-hrai1A/AAAAAAAAAAI/AAAAAAAAAAA/J-zgSkk0zls/s44-p-k-no-ns-nd/photo.jpg,,"https://www.google.com/maps/place/Brooklyn+Running+Company/@40.6806662,-73.9754684,14z/data=!4m8!1m2!2m1!1sBrooklyn+Running+Company!3m4!1s0x89c25b248664fcfb:0xec150325576ecc9c!8m2!3d40.6806662!4d-73.9754684",steven@brooklynrunningco.com
Super Runners Shop,http://www.superrunnersshop.com/,Running store,+1 212-398-2449,"745 7th Ave, New York, NY 10019",Manhattan,745 7th Ave,New York,10019,40.7605689,-73.9833623,892a100d647ffff,FALSE,4.3,268,"https://search.google.com/local/reviews?placeid=ChIJYxQ8G1ZYwokRBDuFiPc9YNY&q=run+club,+Queens,+NY&authuser=0&hl=en&gl=US",,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrgY-kpfnn5huJhpakFgq9ESXpjJEg6SYNYWd8-0p3nbpBvkUgOP3s6BAIOGMbVJFGStSbKl7kqCPWrvyvZ8APw72fypFS_58ZDmkT0HYaUJi6mSA1Q9W9TtHhy9cX7RRYgnRUEog=w800-h500-k-no,OPERATIONAL,"{""Service options"": {""In-store pickup"": true, ""In-store shopping"": true, ""Onsite services"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true}, ""Crowd"": {""LGBTQ+ friendly"": true}, ""Planning"": {""Quick visit"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",https://lh5.googleusercontent.com/-ggjoDdzCFTQ/AAAAAAAAAAI/AAAAAAAAAAA/L097tjTgPSU/s44-p-k-no-ns-nd/photo.jpg,"Retailer selling name-brand running shoes, socks, tech apparel & gear for men & women.","https://www.google.com/maps/place/Super+Runners+Shop/@40.760568899999996,-73.9833623,14z/data=!4m8!1m2!2m1!1sSuper+Runners+Shop!3m4!1s0x89c258561b3c1463:0xd6603df788853b04!8m2!3d40.760568899999996!4d-73.9833623",info@superrunnersshop.com
